dataset,model,evaluation_mode,accuracy,precision,recall,f1,mcc,roc_auc
MoleculeNet_Tox21,LogisticRegression,holdout,0.661042944785276,0.5318066157760815,0.5862552594670407,0.5577051367578385,0.2848849752676787,0.6824872864478668
MoleculeNet_Tox21,RandomForest,holdout,0.7576687116564417,0.724202626641651,0.541374474053296,0.6195826645264848,0.4573722677584883,0.7977848461905606
MoleculeNet_Tox21,ExtraTrees,holdout,0.7505112474437627,0.7005347593582888,0.5511921458625526,0.6169544740973313,0.44273304890791304,0.7866961012525684
MoleculeNet_Tox21,GradientBoosting,holdout,0.7581799591002045,0.7553191489361702,0.49789621318373073,0.6001690617075233,0.4566487687913533,0.7933358081554038
MoleculeNet_Tox21,AdaBoost,holdout,0.7055214723926381,0.6518847006651884,0.4123422159887798,0.5051546391752577,0.32684573836033937,0.7357002862594343
MoleculeNet_Tox21,HistGradientBoosting,holdout,0.7617586912065439,0.7225225225225225,0.5624123422159888,0.6324921135646687,0.4681690788593802,0.7944652748237254
MoleculeNet_Tox21,SVM,holdout,0.7428425357873211,0.6422764227642277,0.664796633941094,0.653342522398346,0.4492189449402377,0.785542375310152
MoleculeNet_Tox21,KNN,holdout,0.7055214723926381,0.6666666666666666,0.38429172510518933,0.4875444839857651,0.3237902899549042,0.6898096380403472
MoleculeNet_Tox21,MLP,holdout,0.7075664621676891,0.6008583690987125,0.5890603085553997,0.5949008498583569,0.3661801149739468,0.7444533708543438
MoleculeNet_Tox21,VotingEnsemble,holdout,0.754601226993865,0.695142378559464,0.5820476858345021,0.6335877862595419,0.45530136937407206,0.7882622348545967
MoleculeNet_Tox21,StackingEnsemble,holdout,0.7673824130879345,0.7345454545454545,0.5666199158485273,0.6397466349960411,0.48084984285565896,0.807486299151828
